Category,IoU,Precision,Recall,F1-Score
png,0.5,0.8,0.8824,0.8392
png,0.75,0.6667,0.7353,0.6993
png,0.9,0.4533,0.5,0.4755
png,mAP@0.5:0.9,0.64,0.7059,-
scan150,0.5,0.5581,0.3529,0.4324
scan150,0.75,0.3488,0.2206,0.2703
scan150,0.9,0.1395,0.0882,0.1081
scan150,mAP@0.5:0.9,0.3488,0.2206,-
scan300,0.5,0.3077,0.1765,0.2243
scan300,0.75,0.2051,0.1176,0.1495
scan300,0.9,0.0769,0.0441,0.0561
scan300,mAP@0.5:0.9,0.1966,0.1127,-
ALL,0.5,0.6115,0.4706,0.5319
ALL,0.75,0.465,0.3578,0.4044
ALL,0.9,0.2739,0.2108,0.2382
ALL,mAP@0.5:0.9,0.4501,0.3464,-
