step_file,gt_file,jaccard_ratio,gt_length,pred_length,diff_length
scan300_1.json,1.json,0.8158,1046,1046,0
scan300_2.json,2.json,0.8084,1656,1335,321
scan300_3.json,3.json,0.9877,6544,6544,0
scan300_4.json,4.json,0.6667,992,891,101
scan300_5.json,5.json,0.9118,3250,3092,158
scan300_6.json,6.json,0.7115,981,813,168
scan300_7.json,7.json,0.9972,4886,4885,1
scan300_8.json,8.json,0.7788,1000,882,118
scan300_9.json,9.json,0.8557,1958,1859,99
scan300_10.json,10.json,0.875,586,596,10
scan300_11.json,11.json,0.85,1951,1724,227
scan300_12.json,12.json,0.8594,572,574,2
scan300_13.json,13.json,0.8607,6475,6505,30
scan300_14.json,14.json,0.8382,569,575,6
scan300_15.json,15.json,0.9158,1954,1954,0
scan300_16.json,16.json,0.9077,570,570,0
scan300_17.json,17.json,0.9753,3332,3335,3
scan300_18.json,18.json,0.8788,572,584,12
scan300_19.json,19.json,0.9733,5468,5359,109
scan300_20.json,20.json,0.6818,701,634,67
scan300_21.json,21.json,0.971,1307,1307,0
scan300_22.json,22.json,0.8133,748,727,21
scan300_23.json,23.json,0.9853,3261,3262,1
scan300_24.json,24.json,0.7089,727,711,16
scan300_25.json,25.json,0.985,3870,3871,1
scan300_26.json,26.json,0.5326,632,621,11
scan300_27.json,27.json,0.9126,1798,1681,117
scan300_28.json,28.json,0.631,663,635,28
scan300_29.json,29.json,0.7912,2942,2556,386
scan300_30.json,30.json,0.7674,733,627,106
scan300_31.json,31.json,0.8834,3454,3469,15
scan300_32.json,32.json,0.7875,691,600,91
scan300_33.json,33.json,0.9401,1687,1686,1
scan300_34.json,34.json,0.775,721,619,102
scan300_35.json,35.json,0.9934,3705,3706,1
scan300_36.json,36.json,0.9444,703,703,0
scan300_37.json,37.json,0.9862,4325,4326,1
scan300_38.json,38.json,0.8158,701,603,98
scan300_39.json,39.json,0.9565,1776,1707,69
scan300_40.json,40.json,0.7907,652,641,11
scan300_41.json,41.json,0.979,3929,3931,2
scan300_42.json,42.json,0.7606,540,545,5
scan300_43.json,43.json,0.9852,3693,3693,0
scan300_44.json,44.json,0.6842,541,534,7
scan300_45.json,45.json,0.8827,1723,1637,86
scan300_46.json,46.json,0.7397,602,602,0
scan300_47.json,47.json,0.9931,3757,3758,1
scan300_48.json,48.json,0.8235,534,536,2
scan300_49.json,49.json,0.9749,3020,3022,2
scan300_50.json,50.json,0.7531,582,576,6
scan300_51.json,51.json,0.9583,2002,2003,1
scan300_52.json,52.json,0.7838,578,561,17
scan300_53.json,53.json,0.9517,3044,3045,1
scan300_54.json,54.json,0.7917,531,539,8
scan300_55.json,55.json,1.0,2664,2664,0
scan300_56.json,56.json,0.45,727,541,186
scan300_57.json,57.json,0.9639,6605,6609,4
scan300_58.json,58.json,0.7,593,584,9
scan300_59.json,59.json,0.9753,5937,5941,4
scan300_60.json,60.json,0.8378,754,669,85
scan300_61.json,61.json,0.9681,6601,6603,2
scan300_62.json,62.json,0.9271,992,991,1
scan300_63.json,63.json,0.9899,5661,5662,1
scan300_64.json,64.json,0.9255,873,875,2
scan300_65.json,65.json,0.9835,4782,4782,0
scan300_66.json,66.json,0.9208,810,797,13
scan300_67.json,67.json,0.9725,4633,4635,2
scan300_68.json,68.json,0.9266,958,952,6
scan300_69.json,69.json,0.8642,3405,3424,19
scan300_70.json,70.json,0.9451,841,853,12
scan300_71.json,71.json,0.9919,2948,2948,0
scan300_72.json,72.json,0.866,902,864,38
scan300_73.json,73.json,0.9906,2413,2413,0
scan300_74.json,74.json,0.8696,1047,1040,7
scan300_75.json,75.json,0.9555,5688,5542,146
scan300_76.json,76.json,0.9417,968,970,2
scan300_77.json,77.json,0.9604,6578,6584,6
scan300_78.json,78.json,0.9077,1332,1338,6
scan300_79.json,79.json,0.7604,959,757,202
scan300_80.json,80.json,0.7216,953,745,208
scan300_81.json,81.json,0.957,929,929,0
scan300_82.json,82.json,0.9785,908,908,0
scan300_83.json,83.json,0.9412,1015,1019,4
scan300_84.json,84.json,0.8283,940,930,10
scan300_85.json,85.json,0.9038,977,973,4
scan300_86.json,86.json,0.8889,965,966,1
scan300_87.json,87.json,0.9254,1444,1452,8
